,USD_ROI,BAT_ROI,BTC_ROI,TRADE_ROI
2021-01-01,20.5126,20.5126,20.588988,0.0
2021-01-02,20.5126,20.401600000000002,22.558137,0.0
2021-01-03,20.5126,21.6469,23.156462,0.0
2021-01-04,20.5126,21.787,22.413993,0.0
2021-01-05,20.5126,23.1887,23.821448,0.0
2021-01-06,20.5126,25.0458,25.801482,0.0
2021-01-07,20.5126,25.6766,27.653892,0.0
2021-01-08,20.5126,25.1023,28.465605,0.0
2021-01-09,20.5126,27.539,28.180201,0.0
2021-01-10,20.5126,25.7956,26.720099,0.0
2021-01-11,20.5126,22.9223,24.816812999999996,0.0
2021-01-12,20.5126,23.0872,23.827286,0.0
2021-01-13,20.5126,24.9361,26.175562000000003,0.0
2021-01-14,20.5126,24.5659,27.387598,0.0
2021-01-15,20.5126,24.813299999999998,25.728268999999997,0.0
2021-01-16,20.5126,26.764599999999998,25.204858,0.0
2021-01-17,20.5126,27.2842,25.073999999999998,0.0
2021-01-18,20.5126,28.283199999999997,25.636961000000003,0.0
2021-01-19,20.5126,27.02,25.142096,0.0
2021-01-20,20.5126,27.900000000000002,24.852162999999997,0.0
2021-01-21,20.5126,24.4741,21.599165,0.0
2021-01-22,20.5126,31.447999999999997,23.089451,0.0
2021-01-23,20.5126,32.931,22.478406999999997,0.0
2021-01-24,20.5126,31.909,22.601992,0.0
2021-01-25,20.5126,30.153799999999997,22.583309,0.0
2021-01-26,20.5126,29.8885,22.757573999999998,0.0
2021-01-27,20.5126,30.517300000000002,21.284991,0.0
2021-01-28,20.5126,30.781599999999997,23.442293,0.0
2021-01-29,20.5126,30.9129,23.983477,0.0
2021-01-30,20.5126,31.5247,24.020940999999997,0.0
2021-01-31,20.5126,30.225,23.196417999999998,0.0
2021-02-01,52.0215,63.0178,53.653104,63.0178
2021-02-02,52.0215,63.416,56.820271999999996,63.0178
2021-02-03,52.0215,64.37079999999999,60.285392,63.0178
2021-02-04,52.0215,62.5432,59.16,63.0178
2021-02-05,52.0215,74.13,61.29838399999999,74.69252475089219
2021-02-06,52.0215,70.5144,62.824687999999995,74.69252475089219
2021-02-07,52.0215,81.6786,62.19427199999999,74.69252475089219
2021-02-08,52.0215,83.6922,74.31696,74.69252475089219
2021-02-09,52.0215,86.748,74.423568,74.69252475089219
2021-02-10,52.0215,88.38380000000001,71.75999999999999,74.69252475089219
2021-02-11,52.0215,118.63719999999999,76.796656,74.69252475089219
2021-02-12,52.0215,125.6224,75.85334399999999,74.69252475089219
2021-02-13,52.0215,123.5876,75.57191999999999,74.69252475089219
2021-02-14,52.0215,112.34980000000002,77.889104,74.69252475089219
2021-02-15,52.0215,107.7958,76.69819199999999,71.66492917247938
2021-02-16,52.0215,111.03620000000001,78.65393599999999,71.66492917247938
2021-02-17,52.0215,115.0724,83.472016,74.26997137606669
2021-02-18,52.0215,126.7514,82.56276799999999,81.80782576774604
2021-02-19,52.0215,122.51780000000001,89.57369599999998,81.80782576774604
2021-02-20,52.0215,115.9912,89.47763199999999,81.80782576774604
2021-02-21,52.0215,121.148,91.98265599999999,85.44488268171116
2021-02-22,52.0215,107.936,86.62740799999999,85.44488268171116
